Area_m2,Deposit,Monthly_Rent,School_Walk_Min,Transit_Min,Conv_Count,Subway_Count,Bank_Count,Hosp_Count,Pharm_Count,School_Count_Near,Cafe_Count,Rest_Count,Mart_Count,Parking_Count,Price_Hwansan,House_Age,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Rent_Type_Monthly,Orientation_East,Orientation_South,Orientation_West
18.8,12000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,12000.0,6.0,False,False,False,False,True,True,False,False,False,False
14.61,7000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7000.0,13.0,False,False,False,False,True,True,False,False,False,True
18.8,12000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,12000.0,6.0,False,False,False,False,True,True,False,False,False,False
32.37,3000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,3000.0,8.0,False,False,False,False,True,True,False,False,False,False
18.01,10000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,10000.0,6.0,False,False,False,False,True,True,False,False,False,False
20.14,12000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,12000.0,6.0,False,False,False,False,True,True,False,False,False,False
36.13,15000.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,15000.0,7.0,False,False,False,False,True,True,False,True,False,False
18.8,12000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,12000.0,6.0,False,False,False,False,True,True,False,False,False,False
47.475,13500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,13500.0,13.0,False,False,False,False,True,True,False,False,False,False
47.475,13500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,13500.0,13.0,False,False,False,False,True,True,False,False,False,False
36.12,353.0,32.0,23,21,2,0,0,0,0,0,3,6,0,0.0,3553.0,7.0,False,False,False,False,True,False,True,True,False,False
15.6,1000.0,45.0,19,20,1,0,0,0,0,0,1,3,0,0.0,5500.0,8.0,False,False,False,False,True,False,True,False,False,False
19.7272,12000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,12000.0,6.0,False,False,False,False,True,True,False,False,False,False
19.7272,11500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,11500.0,6.0,False,False,False,False,True,True,False,False,False,False
19.7272,11500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,11500.0,6.0,False,False,False,False,True,True,False,False,False,False
21.48,100.0,30.0,23,21,2,0,0,0,0,0,3,6,0,0.0,3100.0,28.0,False,False,False,False,True,False,True,False,False,False
17.0,3000.0,25.0,23,21,2,0,0,0,0,0,3,6,0,0.0,5500.0,11.0,False,False,False,False,True,False,True,True,False,False
26.02,510.0,40.8,50,22,2,0,2,2,0,0,5,15,1,0.0,4590.0,13.0,False,False,False,False,True,False,True,True,False,False
17.37,510.0,48.96,27,11,6,0,3,4,2,0,15,15,0,3.0,5406.0,9.0,False,False,False,False,True,False,True,True,False,False
19.11,1000.0,40.0,27,11,6,0,3,4,2,0,15,15,0,3.0,5000.0,10.0,False,False,False,False,True,False,True,True,False,False
21.99,9450.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,9450.0,10.0,False,False,False,False,True,True,False,True,False,False
41.71,17850.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,17850.0,10.0,False,False,False,False,True,True,False,True,False,False
44.0,18900.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,18900.0,9.0,False,False,False,False,True,True,False,True,False,False
41.71,17850.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,17850.0,10.0,False,False,False,False,True,True,False,True,False,False
40.75,16800.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,16800.0,10.0,False,False,False,False,True,True,False,True,False,False
19.59,10000.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,10000.0,10.0,False,False,False,False,True,True,False,True,False,False
23.27,10500.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,10500.0,10.0,False,False,False,False,True,True,False,True,False,False
18.66,12600.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12600.0,9.0,False,False,False,False,True,True,False,True,False,False
25.02,12600.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12600.0,9.0,False,False,False,False,True,True,False,True,False,False
