,Area_m2,School_Walk_Min,Subway_Count,School_Count_Near,Mart_Count,Price_Hwansan,House_Age,Life_Infra_Score,Pharm_Parking_Sum,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Orientation_East,Orientation_South,Orientation_West
202,44.98,50,0,0,1,7000.0,13.0,26,0.0,False,False,False,False,True,False,True,False,False
203,20.67,14,0,1,0,10800.0,3.0,12,0.0,False,False,False,False,True,False,False,False,True
204,36.06,23,0,0,0,5875.2,7.0,11,0.0,False,False,False,False,True,False,True,False,False
205,16.45,14,0,2,1,10584.0,4.0,33,2.0,False,False,False,False,True,False,False,False,False
206,22.86,17,0,1,0,9720.0,4.0,25,0.0,False,False,False,False,True,False,False,False,False
207,13.42,17,0,1,0,3671.9999999999995,14.0,25,0.0,False,False,False,False,True,False,True,False,False
208,13.6,14,0,1,0,5832.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
209,15.6,19,0,0,0,5832.0,8.0,5,0.0,False,False,False,False,True,False,False,False,False
210,25.01,17,0,1,0,18360.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
211,21.48,23,0,0,0,3564.0,28.0,11,0.0,False,False,False,False,True,False,False,False,False
212,21.48,23,0,0,0,3564.0,28.0,11,0.0,False,False,False,False,True,False,False,False,False
213,13.3,17,0,1,0,3780.0,14.0,25,0.0,False,False,False,False,True,False,True,False,False
214,21.715,14,0,1,0,7020.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
215,35.09,23,0,0,0,5897.88,7.0,11,0.0,False,False,False,False,True,False,True,False,False
216,15.09,14,0,1,0,4680.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
217,23.21,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
218,23.21,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
219,14.09,14,0,1,0,5616.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
220,13.6,14,0,1,0,3016.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
221,14.09,14,0,1,0,5928.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
222,13.38,14,0,1,0,5200.0,12.0,12,0.0,False,False,False,False,True,True,True,False,False
223,13.38,14,0,1,0,5200.0,12.0,12,0.0,False,False,False,False,True,True,True,False,False
224,17.3762,17,0,1,0,16120.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
225,28.84,14,0,1,0,8320.0,11.0,12,0.0,False,False,False,False,True,True,False,False,True
226,21.715,14,0,1,0,6864.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
227,23.21,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
228,23.21,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
229,18.36,23,0,0,0,4888.0,11.0,11,0.0,False,False,False,False,True,False,False,False,False
230,38.66,19,0,0,0,14040.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
231,48.26,19,0,0,0,4110.08,6.0,5,0.0,False,False,False,False,True,False,False,False,False
232,19.3984,17,0,1,0,14560.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
233,21.21,14,0,1,0,6760.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
234,20.705,14,0,1,0,6760.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
235,21.715,14,0,1,0,6760.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
236,18.36,23,0,0,0,4888.0,11.0,11,0.0,False,False,False,False,True,False,False,False,False
237,42.25,17,0,1,0,13000.0,12.0,25,0.0,False,False,False,False,True,True,False,False,False
238,21.715,14,0,1,0,6968.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
239,21.21,14,0,1,0,13832.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
240,19.7272,17,0,1,0,15600.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
241,19.7272,17,0,1,0,15600.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
242,38.98,19,0,0,0,17680.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
243,19.7272,17,0,1,0,15600.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
244,22.06,14,0,1,0,10400.0,12.0,12,0.0,False,False,False,False,True,True,True,False,False
245,38.59,17,0,1,0,13520.0,12.0,25,0.0,False,False,False,False,True,True,False,False,False
246,25.01,17,0,1,0,18720.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
247,20.705,14,0,1,0,6552.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
248,13.2,17,0,1,0,3744.0,14.0,25,0.0,False,False,False,False,True,False,True,False,False
249,18.8,17,0,1,0,12480.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
250,38.66,19,0,0,0,14040.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
251,19.08,19,0,0,0,10920.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
252,19.08,19,0,0,0,10920.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
253,17.54,19,0,0,0,9048.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
254,19.08,19,0,0,0,8632.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
255,19.08,19,0,0,0,10400.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
256,19.08,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
257,19.08,19,0,0,0,15600.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
258,16.03,14,0,1,0,5720.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
259,20.705,14,0,1,0,6760.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
260,17.54,19,0,0,0,10400.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
261,19.7272,17,0,1,0,13520.0,6.0,25,0.0,False,False,False,False,True,False,False,False,False
262,17.95,19,0,0,0,9360.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
263,23.21,19,0,0,0,18720.0,4.0,5,0.0,False,False,False,False,True,True,False,False,False
264,21.715,14,0,1,0,6240.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
265,14.76,14,0,1,0,4472.0,14.0,12,0.0,False,False,False,False,True,False,False,False,True
266,17.95,19,0,0,0,9360.0,4.0,5,0.0,False,False,False,False,True,False,False,False,False
267,21.715,14,0,1,0,6552.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
268,14.09,14,0,1,0,5200.0,13.0,12,0.0,False,False,False,False,True,False,False,False,True
269,19.7272,17,0,1,0,13520.0,6.0,25,0.0,False,False,False,False,True,False,False,False,False
270,18.57,17,0,1,0,13000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
271,18.01,17,0,1,0,10400.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
272,36.13,23,0,0,0,16380.0,7.0,11,0.0,False,False,False,False,True,True,True,False,False
273,49.56,17,0,1,0,4294.16,5.0,25,0.0,False,False,False,False,True,False,False,False,False
274,42.76,17,0,1,0,3685.76,5.0,25,0.0,False,False,False,False,True,False,False,False,False
275,22.44,17,0,1,0,13000.0,4.0,25,0.0,False,False,False,False,True,False,False,False,False
276,42.76,17,0,1,0,3789.76,5.0,25,0.0,False,False,False,False,True,False,False,False,False
277,22.44,17,0,1,0,12998.96,4.0,25,0.0,False,False,False,False,True,False,False,False,False
278,38.85,23,0,0,0,13520.0,11.0,11,0.0,False,False,False,False,True,True,False,False,False
